OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
Upsurge Premier League/2021 Season/Fall Season,2021-09-24,2021-10-22,North America,United States,Online,Unified Premier League,1,1
Upsurge Premier League/2021 Season/Spring Playoffs,2021-05-07,2021-05-21,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2021 Season/Spring Season,2021-04-02,2021-05-01,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2021 Season/Summer Playoffs,2021-08-12,2021-09-03,North America,United States,Online,Unified Premier League,1,1
Upsurge Premier League/2021 Season/Summer Season,2021-07-02,2021-08-07,North America,United States,Online,Unified Premier League,1,1
Upsurge Premier League/2021 Season/Winter Playoffs,2021-03-11,2021-03-26,North America,United States,Online,Upsurge Premier League,1,1
Upsurge Premier League/2021 Season/Winter Season,2021-01-21,2021-03-05,North America,United States,Online,Upsurge Premier League,1,1
UTT Arena 2019,2019-12-07,2019-12-08,Europe,France,Offline,UTT Arena,1,1
UTT Arena 2020,2020-11-28,2020-11-29,Europe,France,Online,UTT Arena,1,1
UTT Arena 2021,2021-11-26,2021-11-28,Europe,France,Offline,UTT Arena,1,1
V-Preca LoL e-sports SQUARE,2013-04-26,2013-05-10,Japan,Japan,,V-Preca LoL e-sports SQUARE,1,1
V4 Future Sports Festival,2018-03-24,2018-03-24,Europe,Hungary,Offline,V4 Future Sports Festival,1,1
V4 Future Sports Festival/CZSK Qualifier,2018-02-19,2018-02-19,Europe,Czech Republic,Online,V4 Future Sports Festival,1,1
V4 Future Sports Festival/Hungarian Qualifier,2018-02-25,2018-02-25,Europe,Hungary,Online,V4 Future Sports Festival,1,1
Valenciennes Game Arena 2018,2018-10-13,2018-10-14,Europe,France,Offline,Valenciennes Game Arena,1,1
Valenciennes Game Arena 2018/Qualifier,2018-08-11,2018-08-12,Europe,France,Online,Valenciennes Game Arena,1,1
Varlė.lt Kings of the Baltics 2017,2017-09-24,2017-12-10,Europe,Lithuania,Online/Offline,Kings of the Baltics,1,1
Varlė.lt Lithuanian Esports League 2017,2017-05-21,2017-05-21,Europe,Lithuania,Online,Lithuanian Esports League,1,1
VCS A/2013 Season/Winter Qualifiers,2013-10-26,2013-10-27,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2013 Season/Winter Season,2013-11-02,2013-12-17,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2014 Season/Spring Promotion,2014-01-11,2014-01-12,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
VCS A/2014 Season/Spring Season,2014-02-22,2014-04-13,SEA,Vietnam,Online,Vietnam Championship Series A,1,1
